id;date;description;amount
1;2021-06-28T14:18:57;Mississippi New Mexico Towels;97552
2;2021-06-28T16:57:27;Plastic Developer actuating;40055
3;2021-06-28T00:50:37;Persevering;36513
4;2021-06-28T16:04:08;hard drive olive Sausages;7818
5;2021-06-27T21:58:01;generate Portugal;92824
6;2021-06-28T06:31:18;Rustic architect;86710
7;2021-06-28T16:28:07;Home Loan Account;62373
8;2021-06-28T00:50:13;Iowa Rhode Island;37746
9;2021-06-28T02:15:25;Tokelau Rhode Island;33898
10;2021-06-28T17:51:12;Ergonomic Triple-buffered infrastructures;72605
